component,location,carrier,0
Generator,AT0 7,rural solar thermal,0.0
Generator,AT0 7,solar,61.24803
Generator,AT0 7,solar rooftop,1e-05
Generator,AT0 7,solar-hsat,1e-05
Generator,AT0 7,urban decentral heat vent,436.50688
Generator,AT0 7,urban decentral solar thermal,0.0
Generator,AT0 8,onwind,90.0
Generator,AT0 8,ror,328.0
Generator,AT0 8,rural heat vent,312.75741
Generator,AT0 8,rural solar thermal,0.0
Generator,AT0 8,solar,163.25096
Generator,AT0 8,solar rooftop,1e-05
Generator,AT0 8,solar-hsat,1e-05
Generator,AT0 8,urban central heat vent,587.85678
Generator,AT0 8,urban central solar thermal,0.0
Generator,AT0 8,urban decentral heat vent,297.90778
Generator,AT0 8,urban decentral solar thermal,0.0
Generator,AT0 9,onwind,35.0
Generator,AT0 9,rural heat vent,248.08014
Generator,AT0 9,rural solar thermal,0.0
Generator,AT0 9,solar,59.32657
Generator,AT0 9,solar rooftop,1e-05
Generator,AT0 9,solar-hsat,1e-05
Generator,AT0 9,urban central heat vent,137.16022
Generator,AT0 9,urban central solar thermal,0.0
Generator,AT0 9,urban decentral heat vent,109.86456
Generator,AT0 9,urban decentral solar thermal,0.0
Generator,EU,biogas,2259503.15211
Generator,EU,gas,1416.22383
Generator,EU,oil primary,2112.74121
Generator,EU,solid biomass,35841987.28393
Line,AT0 0,AC,1966.22409
Line,AT0 1,AC,4155.88274
Line,AT0 10,AC,1966.22408
Line,AT0 11,AC,4379.31728
Line,AT0 12,AC,9473.62514
Line,AT0 13,AC,1966.22411
Line,AT0 14,AC,1966.22408
Line,AT0 15,AC,5362.42932
Line,AT0 16,AC,4379.31728
Line,AT0 17,AC,1698.10262
Line,AT0 18,AC,983.11205
Line,AT0 19,AC,3396.20523
Line,AT0 2,AC,6792.4105
Line,AT0 20,AC,6792.41045
Line,AT0 23,AC,7775.52249
Line,AT0 24,AC,983.11205
Line,AT0 3,AC,1006.98361
Line,AT0 4,AC,3396.20523
Link,AT0 0,BEV charger,4786.98151
Link,AT0 0,DAC,0.0
Link,AT0 0,Fischer-Tropsch,0.0
Link,AT0 0,H2 Electrolysis,239.74876
Link,AT0 0,H2 Fuel Cell,0.0
Link,AT0 0,H2 pipeline,0.00073
Link,AT0 0,Sabatier,0.0
Link,AT0 0,V2G,2393.49076
Link,AT0 0,battery charger,2e-05
Link,AT0 0,battery discharger,2e-05
Link,AT0 0,electricity distribution grid,3e-05
Link,AT0 0,home battery charger,1e-05
Link,AT0 0,home battery discharger,1e-05
Link,AT0 0,methanolisation,73.70915
Link,AT0 0,rural air heat pump,0.0
Link,AT0 0,rural ground heat pump,0.0
Link,AT0 0,rural resistive heater,700.74836
Link,AT0 0,rural water tanks charger,0.00012
Link,AT0 0,rural water tanks discharger,0.00012
Link,AT0 0,urban central air heat pump,0.0
Link,AT0 0,urban central ptes heat pump,0.0
Link,AT0 0,urban central resistive heater,360.23365
Link,AT0 0,urban central water pits charger,399.35786
Link,AT0 0,urban central water pits discharger,399.35786
Link,AT0 0,urban central water tanks charger,7e-05
Link,AT0 0,urban central water tanks discharger,7e-05
Link,AT0 0,urban decentral air heat pump,0.0
Link,AT0 0,urban decentral resistive heater,332.00227
Link,AT0 0,urban decentral water tanks charger,0.00012
Link,AT0 0,urban decentral water tanks discharger,0.00012
Link,AT0 1,BEV charger,1192.70616
Link,AT0 1,DAC,0.0
Link,AT0 1,Fischer-Tropsch,0.0
Link,AT0 1,H2 Electrolysis,0.00137
Link,AT0 1,H2 Fuel Cell,0.0
Link,AT0 1,H2 pipeline,0.00082
Link,AT0 1,Sabatier,0.0
Link,AT0 1,V2G,596.35308
Link,AT0 1,battery charger,2e-05
Link,AT0 1,battery discharger,2e-05
Link,AT0 1,electricity distribution grid,2e-05
Link,AT0 1,home battery charger,1e-05
Link,AT0 1,home battery discharger,1e-05
Link,AT0 1,methanolisation,0.00086
Link,AT0 1,rural air heat pump,0.0
Link,AT0 1,rural ground heat pump,0.0
Link,AT0 1,rural resistive heater,197.81957
Link,AT0 1,rural water tanks charger,0.00012
Link,AT0 1,rural water tanks discharger,0.00012
Link,AT0 1,urban central air heat pump,0.0
Link,AT0 1,urban central ptes heat pump,0.0
Link,AT0 1,urban central resistive heater,1588.56692
Link,AT0 1,urban central water pits charger,6e-05
Link,AT0 1,urban central water pits discharger,6e-05
Link,AT0 1,urban central water tanks charger,3e-05
Link,AT0 1,urban central water tanks discharger,3e-05
Link,AT0 1,urban decentral air heat pump,0.0
Link,AT0 1,urban decentral resistive heater,52.36667
Link,AT0 1,urban decentral water tanks charger,0.00012
Link,AT0 1,urban decentral water tanks discharger,0.00012
Link,AT0 10,BEV charger,3134.20459
Link,AT0 10,DAC,0.0
Link,AT0 10,Fischer-Tropsch,0.0
Link,AT0 10,H2 Electrolysis,0.00038
Link,AT0 10,H2 Fuel Cell,0.0
Link,AT0 10,H2 pipeline,4.56689
Link,AT0 10,Sabatier,0.0
Link,AT0 10,V2G,1567.1023
Link,AT0 10,battery charger,2e-05
Link,AT0 10,battery discharger,2e-05
Link,AT0 10,electricity distribution grid,7e-05
Link,AT0 10,home battery charger,1e-05
Link,AT0 10,home battery discharger,1e-05
Link,AT0 10,methanolisation,0.00014
Link,AT0 10,rural air heat pump,0.0
Link,AT0 10,rural ground heat pump,0.0
Link,AT0 10,rural resistive heater,138.23905
Link,AT0 10,rural water tanks charger,0.00012
Link,AT0 10,rural water tanks discharger,0.00012
Link,AT0 10,urban central air heat pump,0.0
Link,AT0 10,urban central ptes heat pump,0.0
Link,AT0 10,urban central resistive heater,411.38887
Link,AT0 10,urban central water pits charger,283.3571
Link,AT0 10,urban central water pits discharger,283.3571
Link,AT0 10,urban central water tanks charger,5e-05
Link,AT0 10,urban central water tanks discharger,5e-05
Link,AT0 10,urban decentral air heat pump,0.0
Link,AT0 10,urban decentral resistive heater,361.14705
Link,AT0 10,urban decentral water tanks charger,0.00012
Link,AT0 10,urban decentral water tanks discharger,0.00012
Link,AT0 11,BEV charger,1399.65456
Link,AT0 11,DAC,0.0
Link,AT0 11,Fischer-Tropsch,0.0
Link,AT0 11,H2 Electrolysis,0.00119
Link,AT0 11,H2 Fuel Cell,0.0
Link,AT0 11,H2 pipeline,0.00091
Link,AT0 11,Sabatier,0.0
Link,AT0 11,V2G,699.82728
Link,AT0 11,battery charger,2e-05
Link,AT0 11,battery discharger,2e-05
Link,AT0 11,electricity distribution grid,2e-05
Link,AT0 11,home battery charger,1e-05
Link,AT0 11,home battery discharger,1e-05
Link,AT0 11,methanolisation,0.00074
Link,AT0 11,rural air heat pump,0.0
Link,AT0 11,rural ground heat pump,0.0
Link,AT0 11,rural resistive heater,387.57824
Link,AT0 11,rural water tanks charger,0.00012
Link,AT0 11,rural water tanks discharger,0.00012
Link,AT0 11,urban central air heat pump,0.0
Link,AT0 11,urban central ptes heat pump,0.0
Link,AT0 11,urban central resistive heater,467.56435
Link,AT0 11,urban central water pits charger,6e-05
Link,AT0 11,urban central water pits discharger,6e-05
Link,AT0 11,urban central water tanks charger,3e-05
Link,AT0 11,urban central water tanks discharger,3e-05
Link,AT0 11,urban decentral air heat pump,0.0
Link,AT0 11,urban decentral resistive heater,0.90766
Link,AT0 11,urban decentral water tanks charger,0.00012
Link,AT0 11,urban decentral water tanks discharger,0.00012
Link,AT0 12,BEV charger,4049.45732
Link,AT0 12,DAC,0.0
Link,AT0 12,Fischer-Tropsch,0.0
Link,AT0 12,H2 Electrolysis,3e-05
Link,AT0 12,H2 Fuel Cell,0.0
Link,AT0 12,H2 pipeline,0.00138
Link,AT0 12,Sabatier,0.0
Link,AT0 12,V2G,2024.72866
Link,AT0 12,battery charger,2e-05
Link,AT0 12,battery discharger,2e-05
Link,AT0 12,electricity distribution grid,3e-05
Link,AT0 12,home battery charger,1e-05
Link,AT0 12,home battery discharger,1e-05
Link,AT0 12,methanolisation,6e-05
Link,AT0 12,rural air heat pump,0.0
Link,AT0 12,rural ground heat pump,0.0
Link,AT0 12,rural resistive heater,74.70556
Link,AT0 12,rural water tanks charger,0.00012
Link,AT0 12,rural water tanks discharger,0.00012
Link,AT0 12,urban central air heat pump,0.0
Link,AT0 12,urban central ptes heat pump,0.0
Link,AT0 12,urban central resistive heater,2086.95809
Link,AT0 12,urban central water pits charger,6e-05
Link,AT0 12,urban central water pits discharger,6e-05
Link,AT0 12,urban central water tanks charger,3e-05
Link,AT0 12,urban central water tanks discharger,3e-05
Link,AT0 12,urban decentral air heat pump,0.0
Link,AT0 12,urban decentral resistive heater,628.85481
Link,AT0 12,urban decentral water tanks charger,0.00012
Link,AT0 12,urban decentral water tanks discharger,0.00012
Link,AT0 13,BEV charger,1777.46191
Link,AT0 13,DAC,0.0
Link,AT0 13,Fischer-Tropsch,0.0
Link,AT0 13,H2 Electrolysis,17.30928
Link,AT0 13,H2 Fuel Cell,0.0
Link,AT0 13,H2 pipeline,10.76194
Link,AT0 13,Sabatier,0.0
Link,AT0 13,V2G,888.73095
Link,AT0 13,battery charger,2e-05
Link,AT0 13,battery discharger,2e-05
Link,AT0 13,electricity distribution grid,2e-05
Link,AT0 13,home battery charger,1e-05
Link,AT0 13,home battery discharger,1e-05
Link,AT0 13,methanolisation,5e-05
Link,AT0 13,rural air heat pump,0.0
Link,AT0 13,rural ground heat pump,0.0
Link,AT0 13,rural resistive heater,422.61511
Link,AT0 13,rural water tanks charger,0.00012
Link,AT0 13,rural water tanks discharger,0.00012
Link,AT0 13,urban central air heat pump,0.0
Link,AT0 13,urban central ptes heat pump,0.0
Link,AT0 13,urban central resistive heater,707.54508
Link,AT0 13,urban central water pits charger,6e-05
Link,AT0 13,urban central water pits discharger,6e-05
Link,AT0 13,urban central water tanks charger,3e-05
Link,AT0 13,urban central water tanks discharger,3e-05
Link,AT0 13,urban decentral air heat pump,0.0
Link,AT0 13,urban decentral resistive heater,43.94359
Link,AT0 13,urban decentral water tanks charger,0.00012
Link,AT0 13,urban decentral water tanks discharger,0.00012
Link,AT0 14,BEV charger,1792.36407
Link,AT0 14,DAC,0.0
Link,AT0 14,Fischer-Tropsch,0.0
Link,AT0 14,H2 Electrolysis,5e-05
Link,AT0 14,H2 Fuel Cell,0.0
Link,AT0 14,H2 pipeline,0.00079
Link,AT0 14,Sabatier,0.0
Link,AT0 14,V2G,896.18204
Link,AT0 14,battery charger,2e-05
Link,AT0 14,battery discharger,2e-05
Link,AT0 14,electricity distribution grid,3e-05
Link,AT0 14,home battery charger,1e-05
Link,AT0 14,home battery discharger,1e-05
Link,AT0 14,methanolisation,2e-05
Link,AT0 14,rural air heat pump,0.0
Link,AT0 14,rural ground heat pump,0.0
Link,AT0 14,rural resistive heater,615.45855
Link,AT0 14,rural water tanks charger,0.00012
Link,AT0 14,rural water tanks discharger,0.00012
Link,AT0 14,urban decentral air heat pump,0.0
Link,AT0 14,urban decentral resistive heater,82.412
Link,AT0 14,urban decentral water tanks charger,0.00012
Link,AT0 14,urban decentral water tanks discharger,0.00012
Link,AT0 15,BEV charger,744.12945
Link,AT0 15,DAC,0.0
Link,AT0 15,Fischer-Tropsch,0.0
Link,AT0 15,H2 Electrolysis,6e-05
Link,AT0 15,H2 Fuel Cell,0.0
Link,AT0 15,H2 pipeline,0.00077
Link,AT0 15,Sabatier,0.0
Link,AT0 15,V2G,372.06473
Link,AT0 15,battery charger,2e-05
Link,AT0 15,battery discharger,2e-05
Link,AT0 15,electricity distribution grid,2e-05
Link,AT0 15,home battery charger,1e-05
Link,AT0 15,home battery discharger,1e-05
Link,AT0 15,methanolisation,7e-05
Link,AT0 15,rural air heat pump,0.0
Link,AT0 15,rural ground heat pump,0.0
Link,AT0 15,rural resistive heater,395.49342
Link,AT0 15,rural water tanks charger,0.00012
Link,AT0 15,rural water tanks discharger,0.00012
Link,AT0 15,urban decentral air heat pump,0.0
Link,AT0 15,urban decentral resistive heater,2.54441
Link,AT0 15,urban decentral water tanks charger,0.00012
Link,AT0 15,urban decentral water tanks discharger,0.00012
Link,AT0 16,BEV charger,1010.42701
Link,AT0 16,DAC,0.0
Link,AT0 16,Fischer-Tropsch,0.0
Link,AT0 16,H2 Electrolysis,0.00052
Link,AT0 16,H2 Fuel Cell,0.0
Link,AT0 16,H2 pipeline,0.00047
Link,AT0 16,Sabatier,0.0
Link,AT0 16,V2G,505.21351
Link,AT0 16,battery charger,2e-05
Link,AT0 16,battery discharger,2e-05
Link,AT0 16,electricity distribution grid,3e-05
Link,AT0 16,home battery charger,1e-05
Link,AT0 16,home battery discharger,2e-05
Link,AT0 16,methanolisation,0.00033
Link,AT0 16,rural air heat pump,0.0
Link,AT0 16,rural ground heat pump,0.0
Link,AT0 16,rural resistive heater,1139.4222
Link,AT0 16,rural water tanks charger,0.00012
Link,AT0 16,rural water tanks discharger,0.00012
Link,AT0 16,urban decentral air heat pump,0.0
Link,AT0 16,urban decentral resistive heater,1.32867
Link,AT0 16,urban decentral water tanks charger,0.00012
Link,AT0 16,urban decentral water tanks discharger,0.00012
Link,AT0 17,BEV charger,1383.1155
Link,AT0 17,DAC,0.0
Link,AT0 17,Fischer-Tropsch,0.0
Link,AT0 17,H2 Electrolysis,5e-05
Link,AT0 17,H2 Fuel Cell,0.0
Link,AT0 17,H2 pipeline,0.00055
