component,location,carrier,0
Generator,AT0 1,urban central solar thermal,0.0
Generator,AT0 1,urban decentral heat vent,0.09093663183392585
Generator,AT0 1,urban decentral solar thermal,0.0
Generator,AT0 10,onwind,0.0086135
Generator,AT0 10,ror,0.1167608231707317
Generator,AT0 10,rural heat vent,0.43187969370588136
Generator,AT0 10,rural solar thermal,0.0
Generator,AT0 10,solar,0.02345216445716836
Generator,AT0 10,solar rooftop,0.0
Generator,AT0 10,solar-hsat,0.0
Generator,AT0 10,urban central heat vent,0.1322539483718691
Generator,AT0 10,urban central solar thermal,0.0
Generator,AT0 10,urban decentral heat vent,0.5918669333633287
Generator,AT0 10,urban decentral solar thermal,0.0
Generator,AT0 11,onwind,
Generator,AT0 11,ror,0.0005337313432835821
Generator,AT0 11,rural heat vent,0.6755063007742139
Generator,AT0 11,rural solar thermal,0.0
Generator,AT0 11,solar,0.00010287177724221557
Generator,AT0 11,solar rooftop,0.0
Generator,AT0 11,solar-hsat,0.0
Generator,AT0 11,urban central heat vent,0.8870023801161661
Generator,AT0 11,urban central solar thermal,0.0
Generator,AT0 11,urban decentral heat vent,0.33289317850773903
Generator,AT0 11,urban decentral solar thermal,0.0
Generator,AT0 12,onwind,0.0010212141652613828
Generator,AT0 12,ror,0.12433446327683616
Generator,AT0 12,rural heat vent,0.7873440110455855
Generator,AT0 12,rural solar thermal,0.0
Generator,AT0 12,solar,0.021082158743718438
Generator,AT0 12,solar rooftop,0.0
Generator,AT0 12,solar-hsat,0.0
Generator,AT0 12,urban central heat vent,0.8226661637492818
Generator,AT0 12,urban central solar thermal,0.0
Generator,AT0 12,urban decentral heat vent,0.7877930558016951
Generator,AT0 12,urban decentral solar thermal,0.0
Generator,AT0 13,onwind,9.9999980000004e-06
Generator,AT0 13,ror,0.12669166666666667
Generator,AT0 13,rural heat vent,0.4840263242482273
Generator,AT0 13,rural solar thermal,0.0
Generator,AT0 13,solar,0.0330956353010835
Generator,AT0 13,solar rooftop,0.0
Generator,AT0 13,solar-hsat,0.0
Generator,AT0 13,urban central heat vent,0.9708626449650373
Generator,AT0 13,urban central solar thermal,0.0
Generator,AT0 13,urban decentral heat vent,0.6674170305378679
Generator,AT0 13,urban decentral solar thermal,0.0
Generator,AT0 14,onwind,0.0083784375
Generator,AT0 14,ror,0.1253933412042503
Generator,AT0 14,rural heat vent,0.7230417968428866
Generator,AT0 14,rural solar thermal,0.0
Generator,AT0 14,solar,0.022978025673025943
Generator,AT0 14,solar rooftop,0.0
Generator,AT0 14,solar-hsat,0.0
Generator,AT0 14,urban decentral heat vent,0.9989975602729079
Generator,AT0 14,urban decentral solar thermal,0.0
Generator,AT0 15,onwind,3.8461538461538463e-07
Generator,AT0 15,ror,0.1292697435897436
Generator,AT0 15,rural heat vent,0.6442692533888864
Generator,AT0 15,rural solar thermal,0.0
Generator,AT0 15,solar,0.028615394112018903
Generator,AT0 15,solar rooftop,0.0
Generator,AT0 15,solar-hsat,0.0
Generator,AT0 15,urban decentral heat vent,0.9992142342208078
Generator,AT0 15,urban decentral solar thermal,0.0
Generator,AT0 16,onwind,
Generator,AT0 16,ror,0.12515425
Generator,AT0 16,rural heat vent,0.8303549821678676
Generator,AT0 16,rural solar thermal,0.0
Generator,AT0 16,solar,0.03978050151391469
Generator,AT0 16,solar rooftop,0.0
Generator,AT0 16,solar-hsat,0.0
Generator,AT0 16,urban decentral heat vent,0.4330899427051268
Generator,AT0 16,urban decentral solar thermal,0.0
Generator,AT0 17,onwind,0.00023603448275862071
Generator,AT0 17,rural heat vent,0.8178479194387615
Generator,AT0 17,rural solar thermal,0.0
Generator,AT0 17,solar,0.02237597021643816
