component,location,carrier,0
Generator,AT0 21,rural solar thermal,2e-05
Generator,AT0 21,solar,29.40229
Generator,AT0 21,solar rooftop,4e-05
Generator,AT0 21,solar-hsat,4e-05
Generator,AT0 21,urban central heat vent,411.10414
Generator,AT0 21,urban central solar thermal,2e-05
Generator,AT0 21,urban decentral heat vent,57.31836
Generator,AT0 21,urban decentral solar thermal,1e-05
Generator,AT0 22,onwind,39.0
Generator,AT0 22,rural heat vent,402.75778
Generator,AT0 22,rural solar thermal,1e-05
Generator,AT0 22,solar,45.77559
Generator,AT0 22,solar rooftop,4e-05
Generator,AT0 22,solar-hsat,4e-05
Generator,AT0 22,urban decentral heat vent,0.55128
Generator,AT0 22,urban decentral solar thermal,1e-05
Generator,AT0 23,onwind,824.0
Generator,AT0 23,ror,299.5
Generator,AT0 23,rural heat vent,0.00667
Generator,AT0 23,rural solar thermal,1e-05
Generator,AT0 23,solar,171.51988
Generator,AT0 23,solar rooftop,6e-05
Generator,AT0 23,solar-hsat,4e-05
Generator,AT0 23,urban central heat vent,0.00483
Generator,AT0 23,urban central solar thermal,2e-05
Generator,AT0 23,urban decentral heat vent,0.00669
Generator,AT0 23,urban decentral solar thermal,1e-05
Generator,AT0 24,onwind,1e-05
Generator,AT0 24,ror,503.4
Generator,AT0 24,rural heat vent,28.24574
Generator,AT0 24,rural solar thermal,1e-05
Generator,AT0 24,solar,50.6797
Generator,AT0 24,solar rooftop,5e-05
Generator,AT0 24,solar-hsat,4e-05
Generator,AT0 24,urban central heat vent,154.09479
Generator,AT0 24,urban central solar thermal,2e-05
Generator,AT0 24,urban decentral heat vent,181.67196
Generator,AT0 24,urban decentral solar thermal,1e-05
Generator,AT0 3,onwind,1e-05
Generator,AT0 3,ror,13.6
Generator,AT0 3,rural heat vent,34.32897
Generator,AT0 3,rural solar thermal,1e-05
Generator,AT0 3,solar,41.08917
Generator,AT0 3,solar rooftop,5e-05
Generator,AT0 3,solar-hsat,4e-05
Generator,AT0 3,urban central heat vent,655.86746
Generator,AT0 3,urban central solar thermal,2e-05
Generator,AT0 3,urban decentral heat vent,171.5087
Generator,AT0 3,urban decentral solar thermal,1e-05
Generator,AT0 4,onwind,1e-05
Generator,AT0 4,ror,713.0
Generator,AT0 4,rural heat vent,65.289
Generator,AT0 4,rural solar thermal,1e-05
Generator,AT0 4,solar,89.68831
Generator,AT0 4,solar rooftop,5e-05
Generator,AT0 4,solar-hsat,4e-05
Generator,AT0 4,urban central heat vent,0.04071
Generator,AT0 4,urban central solar thermal,2e-05
Generator,AT0 4,urban decentral heat vent,0.09527
Generator,AT0 4,urban decentral solar thermal,1e-05
Generator,AT0 5,onwind,0.0
Generator,AT0 5,ror,39.0
Generator,AT0 5,rural heat vent,191.29453
Generator,AT0 5,rural solar thermal,2e-05
Generator,AT0 5,solar,86.68338
Generator,AT0 5,solar rooftop,5e-05
Generator,AT0 5,solar-hsat,4e-05
Generator,AT0 5,urban central heat vent,1734.90046
Generator,AT0 5,urban central solar thermal,2e-05
Generator,AT0 5,urban decentral heat vent,92.83231
Generator,AT0 5,urban decentral solar thermal,1e-05
Generator,AT0 6,onwind,0.0
Generator,AT0 6,ror,262.0
Generator,AT0 6,rural heat vent,989.50602
Generator,AT0 6,rural solar thermal,1e-05
Generator,AT0 6,solar,64.19419
Generator,AT0 6,solar rooftop,5e-05
Generator,AT0 6,solar-hsat,4e-05
Generator,AT0 6,urban decentral heat vent,0.09782
Generator,AT0 6,urban decentral solar thermal,1e-05
Generator,AT0 7,onwind,0.0
Generator,AT0 7,ror,10.0
Generator,AT0 7,rural heat vent,180.44866
Generator,AT0 7,rural solar thermal,2e-05
Generator,AT0 7,solar,61.24804
Generator,AT0 7,solar rooftop,4e-05
Generator,AT0 7,solar-hsat,4e-05
Generator,AT0 7,urban decentral heat vent,436.50557
Generator,AT0 7,urban decentral solar thermal,1e-05
Generator,AT0 8,onwind,90.00001
Generator,AT0 8,ror,328.0
Generator,AT0 8,rural heat vent,312.75712
Generator,AT0 8,rural solar thermal,1e-05
Generator,AT0 8,solar,163.25097
Generator,AT0 8,solar rooftop,5e-05
Generator,AT0 8,solar-hsat,4e-05
Generator,AT0 8,urban central heat vent,587.8565
Generator,AT0 8,urban central solar thermal,2e-05
Generator,AT0 8,urban decentral heat vent,297.90748
Generator,AT0 8,urban decentral solar thermal,1e-05
Generator,AT0 9,onwind,35.0
Generator,AT0 9,rural heat vent,248.07975
Generator,AT0 9,rural solar thermal,1e-05
Generator,AT0 9,solar,59.32657
Generator,AT0 9,solar rooftop,5e-05
Generator,AT0 9,solar-hsat,4e-05
Generator,AT0 9,urban central heat vent,137.16856
Generator,AT0 9,urban central solar thermal,2e-05
Generator,AT0 9,urban decentral heat vent,109.86412
Generator,AT0 9,urban decentral solar thermal,1e-05
Generator,EU,biogas,2259503.15211
Generator,EU,gas,1416.21101
Generator,EU,oil primary,2112.74156
Generator,EU,solid biomass,35841987.28393
Line,AT0 0,AC,1966.22416
Line,AT0 1,AC,4155.88305
Line,AT0 10,AC,1966.2242
Line,AT0 11,AC,4379.31741
Line,AT0 12,AC,9473.6256
Line,AT0 13,AC,1966.22413
Line,AT0 14,AC,1966.22418
Line,AT0 15,AC,5362.42979
Line,AT0 16,AC,4379.31752
Line,AT0 17,AC,1698.10273
Line,AT0 18,AC,983.11207
Line,AT0 19,AC,3396.20532
Line,AT0 2,AC,6792.4108
Line,AT0 20,AC,6792.41047
Line,AT0 23,AC,7775.52276
Line,AT0 24,AC,983.11211
Line,AT0 3,AC,1006.95692
Line,AT0 4,AC,3396.20528
Link,AT0 0,BEV charger,4786.98151
Link,AT0 0,DAC,0.0
Link,AT0 0,Fischer-Tropsch,2e-05
Link,AT0 0,H2 Electrolysis,239.6778
Link,AT0 0,H2 Fuel Cell,1e-05
Link,AT0 0,H2 pipeline,0.00498
Link,AT0 0,Sabatier,1e-05
Link,AT0 0,V2G,2393.49076
Link,AT0 0,battery charger,0.00014
Link,AT0 0,battery discharger,0.00014
Link,AT0 0,electricity distribution grid,0.00018
Link,AT0 0,home battery charger,0.0001
Link,AT0 0,home battery discharger,0.0001
Link,AT0 0,methanolisation,73.66368
Link,AT0 0,rural air heat pump,1e-05
Link,AT0 0,rural ground heat pump,0.0
Link,AT0 0,rural resistive heater,700.74831
Link,AT0 0,rural water tanks charger,0.00078
Link,AT0 0,rural water tanks discharger,0.00078
Link,AT0 0,urban central air heat pump,1e-05
Link,AT0 0,urban central ptes heat pump,1e-05
Link,AT0 0,urban central resistive heater,360.24018
Link,AT0 0,urban central water pits charger,399.36238
Link,AT0 0,urban central water pits discharger,399.36238
Link,AT0 0,urban central water tanks charger,0.00041
Link,AT0 0,urban central water tanks discharger,0.00041
Link,AT0 0,urban decentral air heat pump,1e-05
Link,AT0 0,urban decentral resistive heater,332.00223
Link,AT0 0,urban decentral water tanks charger,0.00078
Link,AT0 0,urban decentral water tanks discharger,0.00078
Link,AT0 1,BEV charger,1192.70616
Link,AT0 1,DAC,0.0
Link,AT0 1,Fischer-Tropsch,2e-05
Link,AT0 1,H2 Electrolysis,0.01329
Link,AT0 1,H2 Fuel Cell,1e-05
Link,AT0 1,H2 pipeline,0.00543
Link,AT0 1,Sabatier,1e-05
Link,AT0 1,V2G,596.35308
Link,AT0 1,battery charger,0.00014
Link,AT0 1,battery discharger,0.00014
Link,AT0 1,electricity distribution grid,0.00017
Link,AT0 1,home battery charger,0.0001
Link,AT0 1,home battery discharger,0.0001
Link,AT0 1,methanolisation,0.00834
Link,AT0 1,rural air heat pump,0.0
Link,AT0 1,rural ground heat pump,0.0
Link,AT0 1,rural resistive heater,197.81953
Link,AT0 1,rural water tanks charger,0.00076
Link,AT0 1,rural water tanks discharger,0.00076
Link,AT0 1,urban central air heat pump,1e-05
Link,AT0 1,urban central ptes heat pump,1e-05
Link,AT0 1,urban central resistive heater,1588.5669
