component,carrier,bus_carrier,0
Link,industry methanol,methanol,-140000.0
Load,industry methanol,industry methanol,-140000.0
Link,methanolisation,co2 stored,-142901.90788
Load,low-temperature heat for industry,urban decentral heat,-150000.0
Link,methanolisation,AC,-156120.73124
Link,process emissions CC,process emissions,-158777.56876
StorageUnit,PHS,AC,-187422.52118
Store,urban central water pits,urban central water pits,-203588.43949
Link,urban central gas boiler,gas,-367004.76713
Load,shipping methanol,shipping methanol,-436194.78261
Link,shipping methanol,methanol,-436194.78261
Link,methanolisation,H2,-655735.49878
Load,agriculture electricity,low voltage,-714494.79218
Load,low-temperature heat for industry,urban central heat,-1290000.0
Link,urban central water pits discharger,urban central water pits,-1293985.75489
Link,urban central water pits charger,urban central heat,-1497574.19438
Load,agriculture machinery oil,agriculture machinery oil,-1667960.06183
Link,agriculture machinery oil,oil,-1667960.06183
Link,process emissions,process emissions,-3111222.43124
Load,agriculture heat,rural heat,-3679919.14599
Link,HVC to air,non-sequestered HVC,-3778778.68534
Link,naphtha for industry,oil,-4440000.0
Load,naphtha for industry,naphtha for industry,-4440000.0
Link,gas for industry,gas,-4919999.56372
Load,gas for industry,gas for industry,-4920000.0
Link,electricity distribution grid,AC,-5427563.26919
Load,H2 for industry,H2,-6970000.0
Store,co2,co2,-8905136.91245
Load,urban decentral heat,urban decentral heat,-11230016.80699
Load,kerosene for aviation,kerosene for aviation,-11463834.39255
Link,kerosene for aviation,oil,-11463834.39258
Link,H2 Electrolysis,AC,-12265933.94184
Load,rural heat,rural heat,-18168671.33547
Link,oil refining,oil primary,-18507609.88967
Load,land transport EV,EV battery,-18727934.70739
Link,V2G,EV battery,-19129258.30605
Load,urban central heat,urban central heat,-19371778.99206
Generator,urban decentral heat vent,urban decentral heat,-20079550.48449
Link,solid biomass for industry,solid biomass,-27989999.25657
Load,solid biomass for industry,solid biomass for industry,-27990000.0
Link,urban decentral resistive heater,low voltage,-34955071.56844
Link,BEV charger,low voltage,-42063547.79267
Generator,rural heat vent,rural heat,-44467163.21492
Load,industry electricity,low voltage,-46820000.0
Generator,urban central heat vent,urban central heat,-70879085.5425
Link,rural resistive heater,low voltage,-73684164.98037
Link,urban central resistive heater,low voltage,-91594907.50945
