cost,component,location,carrier,0
capital,Generator,AT0 2,solar,10297742.8991
capital,Generator,AT0 2,solar rooftop,2.26076
capital,Generator,AT0 2,solar-hsat,2.44449
capital,Generator,AT0 2,urban central heat vent,0.0
capital,Generator,AT0 2,urban central solar thermal,0.35628
capital,Generator,AT0 2,urban decentral heat vent,0.0
capital,Generator,AT0 2,urban decentral solar thermal,0.36536
capital,Generator,AT0 20,onwind,1735797.41043
capital,Generator,AT0 20,ror,79199785.57919
capital,Generator,AT0 20,rural heat vent,0.0
capital,Generator,AT0 20,rural solar thermal,0.36425
capital,Generator,AT0 20,solar,2449598.55923
capital,Generator,AT0 20,solar rooftop,1.83423
capital,Generator,AT0 20,solar-hsat,2.50165
capital,Generator,AT0 20,urban central heat vent,0.0
capital,Generator,AT0 20,urban central solar thermal,0.34458
capital,Generator,AT0 20,urban decentral heat vent,0.0
capital,Generator,AT0 20,urban decentral solar thermal,0.34715
capital,Generator,AT0 21,onwind,0.35927
capital,Generator,AT0 21,rural heat vent,0.0
capital,Generator,AT0 21,rural solar thermal,0.41599
capital,Generator,AT0 21,solar,1539476.68408
capital,Generator,AT0 21,solar rooftop,2.03298
capital,Generator,AT0 21,solar-hsat,2.50931
capital,Generator,AT0 21,urban central heat vent,0.0
capital,Generator,AT0 21,urban central solar thermal,0.39392
capital,Generator,AT0 21,urban decentral heat vent,0.0
capital,Generator,AT0 21,urban decentral solar thermal,0.40208
capital,Generator,AT0 22,onwind,4513073.09152
capital,Generator,AT0 22,rural heat vent,0.0
capital,Generator,AT0 22,rural solar thermal,0.39124
capital,Generator,AT0 22,solar,2396767.63651
capital,Generator,AT0 22,solar rooftop,1.86663
capital,Generator,AT0 22,solar-hsat,2.48234
capital,Generator,AT0 22,urban decentral heat vent,0.0
capital,Generator,AT0 22,urban decentral solar thermal,0.38012
capital,Generator,AT0 23,onwind,95353133.6592
capital,Generator,AT0 23,ror,92297026.38508
capital,Generator,AT0 23,rural heat vent,0.0
capital,Generator,AT0 23,rural solar thermal,0.36164
capital,Generator,AT0 23,solar,8980623.17357
capital,Generator,AT0 23,solar rooftop,2.538
capital,Generator,AT0 23,solar-hsat,2.42208
capital,Generator,AT0 23,urban central heat vent,0.0
capital,Generator,AT0 23,urban central solar thermal,0.34363
capital,Generator,AT0 23,urban decentral heat vent,0.0
capital,Generator,AT0 23,urban decentral solar thermal,0.34865
capital,Generator,AT0 24,onwind,1.57205
capital,Generator,AT0 24,ror,155132965.2162
capital,Generator,AT0 24,rural heat vent,0.0
capital,Generator,AT0 24,rural solar thermal,0.37483
capital,Generator,AT0 24,solar,2653542.17045
capital,Generator,AT0 24,solar rooftop,2.23937
capital,Generator,AT0 24,solar-hsat,2.47465
capital,Generator,AT0 24,urban central heat vent,0.0
capital,Generator,AT0 24,urban central solar thermal,0.36132
capital,Generator,AT0 24,urban decentral heat vent,0.0
capital,Generator,AT0 24,urban decentral solar thermal,0.36403
capital,Generator,AT0 3,onwind,1.42327
capital,Generator,AT0 3,ror,4191117.05789
capital,Generator,AT0 3,rural heat vent,0.0
capital,Generator,AT0 3,rural solar thermal,0.36715
capital,Generator,AT0 3,solar,2151391.17674
capital,Generator,AT0 3,solar rooftop,2.18038
capital,Generator,AT0 3,solar-hsat,2.48001
capital,Generator,AT0 3,urban central heat vent,0.0
capital,Generator,AT0 3,urban central solar thermal,0.34572
capital,Generator,AT0 3,urban decentral heat vent,0.0
capital,Generator,AT0 3,urban decentral solar thermal,0.35471
capital,Generator,AT0 4,onwind,1.58949
capital,Generator,AT0 4,ror,219725475.16716
capital,Generator,AT0 4,rural heat vent,0.0
capital,Generator,AT0 4,rural solar thermal,0.37486
capital,Generator,AT0 4,solar,4695997.13455
capital,Generator,AT0 4,solar rooftop,2.41017
capital,Generator,AT0 4,solar-hsat,2.5149
capital,Generator,AT0 4,urban central heat vent,0.0
capital,Generator,AT0 4,urban central solar thermal,0.35424
capital,Generator,AT0 4,urban decentral heat vent,0.0
capital,Generator,AT0 4,urban decentral solar thermal,0.3621
capital,Generator,AT0 5,onwind,0.41559
capital,Generator,AT0 5,ror,12018644.50423
capital,Generator,AT0 5,rural heat vent,0.0
capital,Generator,AT0 5,rural solar thermal,0.41254
capital,Generator,AT0 5,solar,4538662.11212
capital,Generator,AT0 5,solar rooftop,2.2623
capital,Generator,AT0 5,solar-hsat,2.51039
capital,Generator,AT0 5,urban central heat vent,0.0
capital,Generator,AT0 5,urban central solar thermal,0.38525
capital,Generator,AT0 5,urban decentral heat vent,0.0
capital,Generator,AT0 5,urban decentral solar thermal,0.40411
capital,Generator,AT0 6,onwind,0.55602
capital,Generator,AT0 6,ror,80740637.43871
capital,Generator,AT0 6,rural heat vent,0.0
capital,Generator,AT0 6,rural solar thermal,0.40642
capital,Generator,AT0 6,solar,3361148.65837
capital,Generator,AT0 6,solar rooftop,2.11099
capital,Generator,AT0 6,solar-hsat,2.48996
capital,Generator,AT0 6,urban decentral heat vent,0.0
capital,Generator,AT0 6,urban decentral solar thermal,0.39522
capital,Generator,AT0 7,onwind,0.2737
capital,Generator,AT0 7,ror,3081703.71903
capital,Generator,AT0 7,rural heat vent,0.0
capital,Generator,AT0 7,rural solar thermal,0.41271
capital,Generator,AT0 7,solar,3206890.7958
capital,Generator,AT0 7,solar rooftop,1.86401
capital,Generator,AT0 7,solar-hsat,2.50087
capital,Generator,AT0 7,urban decentral heat vent,0.0
capital,Generator,AT0 7,urban decentral solar thermal,0.40124
capital,Generator,AT0 8,onwind,10414784.74243
capital,Generator,AT0 8,ror,101079881.98433
capital,Generator,AT0 8,rural heat vent,0.0
capital,Generator,AT0 8,rural solar thermal,0.38304
capital,Generator,AT0 8,solar,8547670.23417
capital,Generator,AT0 8,solar rooftop,2.38588
capital,Generator,AT0 8,solar-hsat,2.47026
capital,Generator,AT0 8,urban central heat vent,0.0
capital,Generator,AT0 8,urban central solar thermal,0.3621
capital,Generator,AT0 8,urban decentral heat vent,0.0
capital,Generator,AT0 8,urban decentral solar thermal,0.36924
capital,Generator,AT0 9,onwind,4050194.32312
capital,Generator,AT0 9,rural heat vent,0.0
capital,Generator,AT0 9,rural solar thermal,0.38067
capital,Generator,AT0 9,solar,3106284.69742
capital,Generator,AT0 9,solar rooftop,2.20142
capital,Generator,AT0 9,solar-hsat,2.47298
capital,Generator,AT0 9,urban central heat vent,0.0
capital,Generator,AT0 9,urban central solar thermal,0.3598
capital,Generator,AT0 9,urban decentral heat vent,0.0
capital,Generator,AT0 9,urban decentral solar thermal,0.36877
capital,Generator,EU,biogas,0.0
capital,Generator,EU,gas,0.0
capital,Generator,EU,oil primary,0.0
capital,Generator,EU,solid biomass,0.0
capital,Line,AT0 0,AC,4175014.52569
