cluster,,,,25
opt,,,,
planning_horizon,,,,2050
component,carrier,location,bus_carrier,
Generator,biogas,EU,biogas,0.0607
Generator,gas,EU,gas,5287022.46021
Generator,oil primary,EU,oil primary,18507609.88967
Generator,onwind,AT0 0,AC,64.20849
Generator,onwind,AT0 1,AC,9e-05
Generator,onwind,AT0 10,AC,1509.09072
Generator,onwind,AT0 11,AC,0.00013
Generator,onwind,AT0 12,AC,5304.87299
Generator,onwind,AT0 13,AC,4.3596
Generator,onwind,AT0 14,AC,2348.68049
Generator,onwind,AT0 15,AC,0.04754
Generator,onwind,AT0 16,AC,6e-05
Generator,onwind,AT0 17,AC,119.93399
Generator,onwind,AT0 18,AC,0.0001
Generator,onwind,AT0 19,AC,0.00067
Generator,onwind,AT0 2,AC,25928.48793
Generator,onwind,AT0 20,AC,1080.09057
Generator,onwind,AT0 21,AC,8e-05
Generator,onwind,AT0 22,AC,0.07027
Generator,onwind,AT0 23,AC,59072.04734
Generator,onwind,AT0 24,AC,0.00435
Generator,onwind,AT0 3,AC,0.0028
Generator,onwind,AT0 4,AC,0.00514
Generator,onwind,AT0 5,AC,0.00012
Generator,onwind,AT0 6,AC,0.00025
Generator,onwind,AT0 7,AC,5e-05
Generator,onwind,AT0 8,AC,6803.4636
Generator,onwind,AT0 9,AC,10.07036
Generator,ror,AT0 0,AC,18794.21356
Generator,ror,AT0 1,AC,336.345
Generator,ror,AT0 10,AC,335486.53511
Generator,ror,AT0 11,AC,313.26045
Generator,ror,AT0 12,AC,192783.036
Generator,ror,AT0 13,AC,66589.14158
Generator,ror,AT0 14,AC,465191.74155
Generator,ror,AT0 15,AC,309145.9897
Generator,ror,AT0 16,AC,87708.08982
Generator,ror,AT0 18,AC,257672.8133
Generator,ror,AT0 19,AC,148191.51567
Generator,ror,AT0 20,AC,481148.17501
Generator,ror,AT0 23,AC,1302857.41949
Generator,ror,AT0 24,AC,519782.89784
Generator,ror,AT0 3,AC,14995.38113
Generator,ror,AT0 4,AC,844805.27359
Generator,ror,AT0 5,AC,661.07027
Generator,ror,AT0 6,AC,1130039.60949
Generator,ror,AT0 7,AC,243.91638
Generator,ror,AT0 8,AC,548486.46704
