cluster,25
opt,
planning_horizon,2050
AC,1.2905553076658902
EV battery,-0.7006799197774981
H2,35.89471258219865
agriculture machinery oil,69.9600105982055
battery,0.8919861825911639
co2,-52.43445476943732
co2 sequestered,-10.089175160711775
co2 stored,-10.099179285074497
gas,24.578383377879604
gas for industry,34.9705142460708
home battery,0.0918362689518213
industry methanol,61.22695853750264
kerosene for aviation,69.95978467673461
low voltage,0.361327094315116
methanol,48.21219303547572
naphtha for industry,58.34495555160846
non-sequestered HVC,-13.49033978264192
oil,56.46971965897289
oil primary,52.92206704324997
process emissions,-48.71634845138652
rural heat,1.5421442111180796
rural water tanks,1.842299132403608
shipping methanol,61.22618211984578
solid biomass,13.65963173332211
solid biomass for industry,13.66949348462633
urban central heat,1.521913386859315
urban central water pits,13.075182113109122
urban central water tanks,1.8727958765928845
urban decentral heat,2.972623894868445
urban decentral water tanks,1.8394273483256915
