component,carrier,bus_carrier,0
Link,urban central water tanks discharger,urban central water tanks,-19.90165
Link,urban central water tanks charger,urban central heat,-20.18761
Link,urban decentral water tanks discharger,urban decentral water tanks,-71.13132
Link,urban decentral water tanks charger,urban decentral heat,-71.27693
Link,rural water tanks discharger,rural water tanks,-71.39599
Link,rural water tanks charger,rural heat,-71.54381
Line,AC,AC,-858.24119
Link,H2 pipeline,AC,-4063.35885
Link,industry methanol,methanol,-140000.0
Load,industry methanol,industry methanol,-140000.0
Link,methanolisation,co2 stored,-142901.90786
Load,low-temperature heat for industry,urban decentral heat,-150000.0
Link,methanolisation,AC,-156120.73122
Store,urban central water pits,urban central water pits,-202004.3261
Link,urban central gas boiler,gas,-209990.11645
Load,shipping methanol,shipping methanol,-436194.78261
Link,shipping methanol,methanol,-436194.78261
StorageUnit,PHS,AC,-453460.56978
Link,methanolisation,H2,-655735.49869
Load,agriculture electricity,low voltage,-714494.79218
Load,low-temperature heat for industry,urban central heat,-1290000.0
Link,urban central water pits discharger,urban central water pits,-1431118.43435
Link,urban central water pits charger,urban central heat,-1633122.76045
Link,agriculture machinery oil,oil,-1667960.06183
Load,agriculture machinery oil,agriculture machinery oil,-1667960.06183
Link,Fischer-Tropsch,co2 stored,-1785654.50988
Link,process emissions CC,process emissions,-3269999.83665
Load,agriculture heat,rural heat,-3679919.14599
Link,HVC to air,non-sequestered HVC,-3778778.68534
Load,naphtha for industry,naphtha for industry,-4440000.0
Link,naphtha for industry,oil,-4440000.0
Link,electricity distribution grid,AC,-4731763.00726
Link,gas for industry,gas,-4919999.70141
Load,gas for industry,gas for industry,-4920000.0
Link,solid biomass for industry CC,co2,-5978848.94445
Load,H2 for industry,H2,-6970000.0
Store,co2 sequestered,co2 sequestered,-6993293.41802
Link,co2 sequestered,co2 stored,-6993293.41802
Link,Fischer-Tropsch,H2,-8692577.65262
Link,oil refining,oil primary,-11192354.9548
Load,urban decentral heat,urban decentral heat,-11230016.80699
Load,kerosene for aviation,kerosene for aviation,-11463834.39255
Link,kerosene for aviation,oil,-11463834.39258
Link,solid biomass for industry,solid biomass,-11685530.5578
Link,solid biomass for industry CC,solid biomass,-18116077.15798
Load,rural heat,rural heat,-18168671.33547
Load,land transport EV,EV battery,-18727934.70739
Load,urban central heat,urban central heat,-19371778.99206
Link,V2G,EV battery,-19655197.16669
Link,H2 Electrolysis,AC,-26247889.71079
Load,solid biomass for industry,solid biomass for industry,-27990000.0
Generator,urban decentral heat vent,urban decentral heat,-32886330.93456
Generator,rural heat vent,rural heat,-33120450.10018
Link,BEV charger,low voltage,-42647924.30451
Load,industry electricity,low voltage,-46820000.0
Link,urban decentral resistive heater,low voltage,-49184828.65017
Link,rural resistive heater,low voltage,-61076707.47029
Generator,urban central heat vent,urban central heat,-69301000.18586
Link,urban central resistive heater,low voltage,-89167570.00527
