cost,component,location,carrier,0
capital,Generator,AT0 2,solar,10297743.26831
capital,Generator,AT0 2,solar rooftop,1.57416
capital,Generator,AT0 2,solar-hsat,1.89877
capital,Generator,AT0 2,urban central heat vent,0.0
capital,Generator,AT0 2,urban central solar thermal,0.35495
capital,Generator,AT0 2,urban decentral heat vent,0.0
capital,Generator,AT0 2,urban decentral solar thermal,0.35532
capital,Generator,AT0 20,onwind,1735797.34142
capital,Generator,AT0 20,ror,79199785.57919
capital,Generator,AT0 20,rural heat vent,0.0
capital,Generator,AT0 20,rural solar thermal,0.34352
capital,Generator,AT0 20,solar,2449598.61494
capital,Generator,AT0 20,solar rooftop,1.24335
capital,Generator,AT0 20,solar-hsat,1.95647
capital,Generator,AT0 20,urban central heat vent,0.0
capital,Generator,AT0 20,urban central solar thermal,0.33981
capital,Generator,AT0 20,urban decentral heat vent,0.0
capital,Generator,AT0 20,urban decentral solar thermal,0.3379
capital,Generator,AT0 21,onwind,0.33212
capital,Generator,AT0 21,rural heat vent,0.0
capital,Generator,AT0 21,rural solar thermal,0.3983
capital,Generator,AT0 21,solar,1539476.63801
capital,Generator,AT0 21,solar rooftop,1.3852
capital,Generator,AT0 21,solar-hsat,1.93311
capital,Generator,AT0 21,urban central heat vent,0.0
capital,Generator,AT0 21,urban central solar thermal,0.39792
capital,Generator,AT0 21,urban decentral heat vent,0.0
capital,Generator,AT0 21,urban decentral solar thermal,0.3952
capital,Generator,AT0 22,onwind,4513073.25807
capital,Generator,AT0 22,rural heat vent,0.0
capital,Generator,AT0 22,rural solar thermal,0.3738
capital,Generator,AT0 22,solar,2396767.53463
capital,Generator,AT0 22,solar rooftop,1.26037
capital,Generator,AT0 22,solar-hsat,1.92808
capital,Generator,AT0 22,urban decentral heat vent,0.0
capital,Generator,AT0 22,urban decentral solar thermal,0.37208
capital,Generator,AT0 23,onwind,95353134.34005
capital,Generator,AT0 23,ror,92297026.38508
capital,Generator,AT0 23,rural heat vent,0.0
capital,Generator,AT0 23,rural solar thermal,0.34062
capital,Generator,AT0 23,solar,8980622.07821
capital,Generator,AT0 23,solar rooftop,1.96969
capital,Generator,AT0 23,solar-hsat,1.91253
capital,Generator,AT0 23,urban central heat vent,0.0
capital,Generator,AT0 23,urban central solar thermal,0.36472
capital,Generator,AT0 23,urban decentral heat vent,0.0
capital,Generator,AT0 23,urban decentral solar thermal,0.34115
capital,Generator,AT0 24,onwind,1.25242
capital,Generator,AT0 24,ror,155132965.2162
capital,Generator,AT0 24,rural heat vent,0.0
capital,Generator,AT0 24,rural solar thermal,0.35719
capital,Generator,AT0 24,solar,2653542.0679
capital,Generator,AT0 24,solar rooftop,1.51448
capital,Generator,AT0 24,solar-hsat,1.92367
capital,Generator,AT0 24,urban central heat vent,0.0
capital,Generator,AT0 24,urban central solar thermal,0.36278
capital,Generator,AT0 24,urban decentral heat vent,0.0
capital,Generator,AT0 24,urban decentral solar thermal,0.35508
capital,Generator,AT0 3,onwind,1.14801
capital,Generator,AT0 3,ror,4191117.05789
capital,Generator,AT0 3,rural heat vent,0.0
capital,Generator,AT0 3,rural solar thermal,0.34884
capital,Generator,AT0 3,solar,2151391.154
capital,Generator,AT0 3,solar rooftop,1.46402
capital,Generator,AT0 3,solar-hsat,1.9366
capital,Generator,AT0 3,urban central heat vent,0.0
capital,Generator,AT0 3,urban central solar thermal,0.34561
capital,Generator,AT0 3,urban decentral heat vent,0.0
capital,Generator,AT0 3,urban decentral solar thermal,0.3469
capital,Generator,AT0 4,onwind,1.52923
capital,Generator,AT0 4,ror,219725475.16716
capital,Generator,AT0 4,rural heat vent,0.0
capital,Generator,AT0 4,rural solar thermal,0.35697
capital,Generator,AT0 4,solar,4695997.37746
capital,Generator,AT0 4,solar rooftop,1.68035
capital,Generator,AT0 4,solar-hsat,1.89586
capital,Generator,AT0 4,urban central heat vent,0.0
capital,Generator,AT0 4,urban central solar thermal,0.35423
capital,Generator,AT0 4,urban decentral heat vent,0.0
capital,Generator,AT0 4,urban decentral solar thermal,0.35531
capital,Generator,AT0 5,onwind,0.39104
