component,location,carrier,0
Generator,AT0 21,solar rooftop,0.0
Generator,AT0 21,solar-hsat,0.0
Generator,AT0 21,urban central heat vent,0.9056441975395418
Generator,AT0 21,urban central solar thermal,0.0
Generator,AT0 21,urban decentral heat vent,0.675225219645528
Generator,AT0 21,urban decentral solar thermal,0.0
Generator,AT0 22,onwind,0.013078974358974359
Generator,AT0 22,rural heat vent,0.7841411283188919
Generator,AT0 22,rural solar thermal,0.0
Generator,AT0 22,solar,0.03943258841666487
Generator,AT0 22,solar rooftop,0.0
Generator,AT0 22,solar-hsat,0.0
Generator,AT0 22,urban decentral heat vent,0.6147921317453453
Generator,AT0 22,urban decentral solar thermal,0.0
Generator,AT0 23,onwind,0.09512509593294788
Generator,AT0 23,ror,0.499188080133556
Generator,AT0 23,rural heat vent,0.38292011019283745
Generator,AT0 23,rural solar thermal,0.0
Generator,AT0 23,solar,0.026512906435441352
Generator,AT0 23,solar rooftop,0.0
Generator,AT0 23,solar-hsat,0.0
Generator,AT0 23,urban central heat vent,0.4409448818897637
Generator,AT0 23,urban central solar thermal,0.0
Generator,AT0 23,urban decentral heat vent,0.3555555555555555
Generator,AT0 23,urban decentral solar thermal,0.0
Generator,AT0 24,onwind,0.0
Generator,AT0 24,ror,0.4991128327373858
Generator,AT0 24,rural heat vent,0.48388868559278664
Generator,AT0 24,rural solar thermal,0.0
Generator,AT0 24,solar,0.030786691868083645
Generator,AT0 24,solar rooftop,0.0
Generator,AT0 24,solar-hsat,0.0
Generator,AT0 24,urban central heat vent,0.5063900163028723
Generator,AT0 24,urban central solar thermal,0.0
Generator,AT0 24,urban decentral heat vent,0.16175862689928874
Generator,AT0 24,urban decentral solar thermal,0.0
Generator,AT0 3,onwind,0.0
Generator,AT0 3,ror,0.276875
Generator,AT0 3,rural heat vent,0.7367779277960568
Generator,AT0 3,rural solar thermal,0.0
Generator,AT0 3,solar,0.035389373890979056
Generator,AT0 3,solar rooftop,0.0
Generator,AT0 3,solar-hsat,0.0
Generator,AT0 3,urban central heat vent,0.8267174927839469
Generator,AT0 3,urban central solar thermal,0.0
Generator,AT0 3,urban decentral heat vent,0.737289281949381
Generator,AT0 3,urban decentral solar thermal,0.0
Generator,AT0 4,onwind,0.0
Generator,AT0 4,ror,0.19093741935483874
Generator,AT0 4,rural heat vent,0.13323353293413173
Generator,AT0 4,rural solar thermal,0.0
Generator,AT0 4,solar,0.030224897759808383
Generator,AT0 4,solar rooftop,0.0
Generator,AT0 4,solar-hsat,0.0
Generator,AT0 4,urban central heat vent,0.1671356218345526
Generator,AT0 4,urban central solar thermal,0.0
Generator,AT0 4,urban decentral heat vent,0.04487576235804927
Generator,AT0 4,urban decentral solar thermal,0.0
Generator,AT0 5,onwind,
Generator,AT0 5,ror,0.1366502564102564
