capital,Generator,AT0 18,urban central solar thermal,0.06972
capital,Generator,AT0 18,urban decentral heat vent,0.0
capital,Generator,AT0 18,urban decentral solar thermal,0.07225
capital,Generator,AT0 19,onwind,0.12997
capital,Generator,AT0 19,ror,46841896.52933
capital,Generator,AT0 19,rural heat vent,0.0
capital,Generator,AT0 19,rural solar thermal,0.06367
capital,Generator,AT0 19,solar,4202043.40554
capital,Generator,AT0 19,solar rooftop,0.31716
capital,Generator,AT0 19,solar-hsat,0.34322
capital,Generator,AT0 19,urban central heat vent,0.0
capital,Generator,AT0 19,urban central solar thermal,0.06173
capital,Generator,AT0 19,urban decentral heat vent,0.0
capital,Generator,AT0 19,urban decentral solar thermal,0.06246
capital,Generator,AT0 2,onwind,140368144.4184
capital,Generator,AT0 2,rural heat vent,0.0
capital,Generator,AT0 2,rural solar thermal,0.06574
capital,Generator,AT0 2,solar,10297742.33964
capital,Generator,AT0 2,solar rooftop,0.30897
capital,Generator,AT0 2,solar-hsat,0.33744
capital,Generator,AT0 2,urban central heat vent,0.0
capital,Generator,AT0 2,urban central solar thermal,0.06332
capital,Generator,AT0 2,urban decentral heat vent,0.0
capital,Generator,AT0 2,urban decentral solar thermal,0.06485
capital,Generator,AT0 20,onwind,1735797.33417
capital,Generator,AT0 20,ror,79199785.57919
capital,Generator,AT0 20,rural heat vent,0.0
capital,Generator,AT0 20,rural solar thermal,0.06346
capital,Generator,AT0 20,solar,2449598.47823
capital,Generator,AT0 20,solar rooftop,0.25873
capital,Generator,AT0 20,solar-hsat,0.34424
capital,Generator,AT0 20,urban central heat vent,0.0
capital,Generator,AT0 20,urban central solar thermal,0.06151
capital,Generator,AT0 20,urban decentral heat vent,0.0
capital,Generator,AT0 20,urban decentral solar thermal,0.0618
capital,Generator,AT0 21,onwind,0.05909
capital,Generator,AT0 21,rural heat vent,0.0
capital,Generator,AT0 21,rural solar thermal,0.07323
capital,Generator,AT0 21,solar,1539476.64533
capital,Generator,AT0 21,solar rooftop,0.28177
capital,Generator,AT0 21,solar-hsat,0.34882
capital,Generator,AT0 21,urban central heat vent,0.0
capital,Generator,AT0 21,urban central solar thermal,0.07037
capital,Generator,AT0 21,urban decentral heat vent,0.0
capital,Generator,AT0 21,urban decentral solar thermal,0.07189
capital,Generator,AT0 22,onwind,4513073.07408
capital,Generator,AT0 22,rural heat vent,0.0
capital,Generator,AT0 22,rural solar thermal,0.06879
capital,Generator,AT0 22,solar,2396767.52751
capital,Generator,AT0 22,solar rooftop,0.26602
capital,Generator,AT0 22,solar-hsat,0.34221
capital,Generator,AT0 22,urban decentral heat vent,0.0
capital,Generator,AT0 22,urban decentral solar thermal,0.06792
capital,Generator,AT0 23,onwind,95353133.56335
capital,Generator,AT0 23,ror,92297026.38508
capital,Generator,AT0 23,rural heat vent,0.0
capital,Generator,AT0 23,rural solar thermal,0.06297
capital,Generator,AT0 23,solar,8980621.92475
capital,Generator,AT0 23,solar rooftop,0.34603
capital,Generator,AT0 23,solar-hsat,0.34185
capital,Generator,AT0 23,urban central heat vent,0.0
capital,Generator,AT0 23,urban central solar thermal,0.06156
capital,Generator,AT0 23,urban decentral heat vent,0.0
capital,Generator,AT0 23,urban decentral solar thermal,0.06202
capital,Generator,AT0 24,onwind,0.22471
capital,Generator,AT0 24,ror,155132965.2162
capital,Generator,AT0 24,rural heat vent,0.0
capital,Generator,AT0 24,rural solar thermal,0.06561
capital,Generator,AT0 24,solar,2653542.07496
capital,Generator,AT0 24,solar rooftop,0.30475
capital,Generator,AT0 24,solar-hsat,0.34182
capital,Generator,AT0 24,urban central heat vent,0.0
capital,Generator,AT0 24,urban central solar thermal,0.06439
capital,Generator,AT0 24,urban decentral heat vent,0.0
capital,Generator,AT0 24,urban decentral solar thermal,0.06467
capital,Generator,AT0 3,onwind,0.20614
capital,Generator,AT0 3,ror,4191117.05789
capital,Generator,AT0 3,rural heat vent,0.0
capital,Generator,AT0 3,rural solar thermal,0.06423
capital,Generator,AT0 3,solar,2151391.15079
capital,Generator,AT0 3,solar rooftop,0.29227
capital,Generator,AT0 3,solar-hsat,0.33935
capital,Generator,AT0 3,urban central heat vent,0.0
capital,Generator,AT0 3,urban central solar thermal,0.06207
capital,Generator,AT0 3,urban decentral heat vent,0.0
capital,Generator,AT0 3,urban decentral solar thermal,0.06312
capital,Generator,AT0 4,onwind,0.24311
capital,Generator,AT0 4,ror,219725475.16716
capital,Generator,AT0 4,rural heat vent,0.0
capital,Generator,AT0 4,rural solar thermal,0.06572
capital,Generator,AT0 4,solar,4695997.06431
capital,Generator,AT0 4,solar rooftop,0.32676
capital,Generator,AT0 4,solar-hsat,0.35268
capital,Generator,AT0 4,urban central heat vent,0.0
capital,Generator,AT0 4,urban central solar thermal,0.0632
capital,Generator,AT0 4,urban decentral heat vent,0.0
capital,Generator,AT0 4,urban decentral solar thermal,0.06484
capital,Generator,AT0 5,onwind,0.07096
capital,Generator,AT0 5,ror,12018644.50423
capital,Generator,AT0 5,rural heat vent,0.0
capital,Generator,AT0 5,rural solar thermal,0.07224
capital,Generator,AT0 5,solar,4538661.97761
capital,Generator,AT0 5,solar rooftop,0.30264
capital,Generator,AT0 5,solar-hsat,0.3524
capital,Generator,AT0 5,urban central heat vent,0.0
capital,Generator,AT0 5,urban central solar thermal,0.06925
capital,Generator,AT0 5,urban decentral heat vent,0.0
capital,Generator,AT0 5,urban decentral solar thermal,0.07203
capital,Generator,AT0 6,onwind,0.08213
capital,Generator,AT0 6,ror,80740637.43871
capital,Generator,AT0 6,rural heat vent,0.0
capital,Generator,AT0 6,rural solar thermal,0.07099
capital,Generator,AT0 6,solar,3361148.38297
capital,Generator,AT0 6,solar rooftop,0.29197
capital,Generator,AT0 6,solar-hsat,0.34371
capital,Generator,AT0 6,urban decentral heat vent,0.0
capital,Generator,AT0 6,urban decentral solar thermal,0.07014
capital,Generator,AT0 7,onwind,0.05301
capital,Generator,AT0 7,ror,3081703.71903
capital,Generator,AT0 7,rural heat vent,0.0
capital,Generator,AT0 7,rural solar thermal,0.07274
capital,Generator,AT0 7,solar,3206890.57502
capital,Generator,AT0 7,solar rooftop,0.26657
capital,Generator,AT0 7,solar-hsat,0.34524
capital,Generator,AT0 7,urban decentral heat vent,0.0
capital,Generator,AT0 7,urban decentral solar thermal,0.07186
capital,Generator,AT0 8,onwind,10414784.00338
capital,Generator,AT0 8,ror,101079881.98433
capital,Generator,AT0 8,rural heat vent,0.0
capital,Generator,AT0 8,rural solar thermal,0.06674
capital,Generator,AT0 8,solar,8547669.84857
capital,Generator,AT0 8,solar rooftop,0.32205
capital,Generator,AT0 8,solar-hsat,0.34818
capital,Generator,AT0 8,urban central heat vent,0.0
capital,Generator,AT0 8,urban central solar thermal,0.06464
capital,Generator,AT0 8,urban decentral heat vent,0.0
capital,Generator,AT0 8,urban decentral solar thermal,0.06592
capital,Generator,AT0 9,onwind,4050193.83096
capital,Generator,AT0 9,rural heat vent,0.0
capital,Generator,AT0 9,rural solar thermal,0.06656
capital,Generator,AT0 9,solar,3106284.51396
capital,Generator,AT0 9,solar rooftop,0.29873
capital,Generator,AT0 9,solar-hsat,0.34165
capital,Generator,AT0 9,urban central heat vent,0.0
capital,Generator,AT0 9,urban central solar thermal,0.06436
capital,Generator,AT0 9,urban decentral heat vent,0.0
capital,Generator,AT0 9,urban decentral solar thermal,0.06561
capital,Generator,EU,biogas,0.0
capital,Generator,EU,gas,0.0
capital,Generator,EU,oil primary,0.0
capital,Generator,EU,solid biomass,0.0
capital,Line,AT0 0,AC,4175014.37649
capital,Line,AT0 1,AC,13117675.03752
capital,Line,AT0 10,AC,2811972.16794
capital,Line,AT0 11,AC,9962104.85035
capital,Line,AT0 12,AC,14947274.73366
capital,Line,AT0 13,AC,5849764.56598
capital,Line,AT0 14,AC,5788993.59121
capital,Line,AT0 15,AC,13912990.06422
capital,Line,AT0 16,AC,11121949.92577
capital,Line,AT0 17,AC,2687342.52277
capital,Line,AT0 18,AC,1764156.86538
capital,Line,AT0 19,AC,3944176.10195
capital,Line,AT0 2,AC,9955247.05344
capital,Line,AT0 20,AC,21628144.17187
capital,Line,AT0 23,AC,15489507.40217
capital,Line,AT0 24,AC,1901960.61002
capital,Line,AT0 3,AC,3152218.1031
capital,Line,AT0 4,AC,13194685.02901
capital,Link,AT0 0,BEV charger,0.0
capital,Link,AT0 0,DAC,0.7137
capital,Link,AT0 0,Fischer-Tropsch,0.2222
capital,Link,AT0 0,H2 Electrolysis,45244372.62621
capital,Link,AT0 0,H2 Fuel Cell,0.13831
capital,Link,AT0 0,H2 pipeline,1.0743
capital,Link,AT0 0,Sabatier,0.14295
capital,Link,AT0 0,V2G,0.0
capital,Link,AT0 0,battery charger,0.50641
capital,Link,AT0 0,battery discharger,0.0
capital,Link,AT0 0,electricity distribution grid,0.66716
capital,Link,AT0 0,home battery charger,0.51059
capital,Link,AT0 0,home battery discharger,0.0
capital,Link,AT0 0,methanolisation,5669719.37511
capital,Link,AT0 0,rural air heat pump,0.28883
capital,Link,AT0 0,rural ground heat pump,0.29763
capital,Link,AT0 0,rural resistive heater,6870134.37498
capital,Link,AT0 0,rural water tanks charger,0.0
capital,Link,AT0 0,rural water tanks discharger,0.0
capital,Link,AT0 0,urban central air heat pump,0.29598
capital,Link,AT0 0,urban central ptes heat pump,0.26369
capital,Link,AT0 0,urban central resistive heater,2522347.89007
capital,Link,AT0 0,urban central water pits charger,0.0
capital,Link,AT0 0,urban central water pits discharger,0.0
capital,Link,AT0 0,urban central water tanks charger,0.0
capital,Link,AT0 0,urban central water tanks discharger,0.0
capital,Link,AT0 0,urban decentral air heat pump,0.28919
capital,Link,AT0 0,urban decentral resistive heater,3254949.03173
capital,Link,AT0 0,urban decentral water tanks charger,0.0
capital,Link,AT0 0,urban decentral water tanks discharger,0.0
capital,Link,AT0 1,BEV charger,0.0
capital,Link,AT0 1,DAC,0.72055
capital,Link,AT0 1,Fischer-Tropsch,0.22042
capital,Link,AT0 1,H2 Electrolysis,257.65019
capital,Link,AT0 1,H2 Fuel Cell,0.13809
capital,Link,AT0 1,H2 pipeline,1.43972
capital,Link,AT0 1,Sabatier,0.14269
capital,Link,AT0 1,V2G,0.0
capital,Link,AT0 1,battery charger,0.5067
capital,Link,AT0 1,battery discharger,0.0
capital,Link,AT0 1,electricity distribution grid,0.60605
capital,Link,AT0 1,home battery charger,0.51583
capital,Link,AT0 1,home battery discharger,0.0
capital,Link,AT0 1,methanolisation,66.02015
capital,Link,AT0 1,rural air heat pump,0.27437
capital,Link,AT0 1,rural ground heat pump,0.27403
capital,Link,AT0 1,rural resistive heater,1939422.31086
capital,Link,AT0 1,rural water tanks charger,0.0
capital,Link,AT0 1,rural water tanks discharger,0.0
capital,Link,AT0 1,urban central air heat pump,0.26893
capital,Link,AT0 1,urban central ptes heat pump,0.27202
capital,Link,AT0 1,urban central resistive heater,11123109.66215
capital,Link,AT0 1,urban central water pits charger,0.0
capital,Link,AT0 1,urban central water pits discharger,0.0
capital,Link,AT0 1,urban central water tanks charger,0.0
capital,Link,AT0 1,urban central water tanks discharger,0.0
